date,Open,High,Low,Close,Volume
12/16/2022,"1,596,399,994.00","1,609,900,055.00","1,500,399,933.00","1,502,299,957.00","139,032,200.00"
12/19/2022,154.00,"155,25","1,458,200,073.00","1,498,699,951.00","139,390,600.00"
12/20/2022,"1,460,500,031.00","1,484,700,012.00","1,376,600,037.00","1,378,000,031.00","159,563,300.00"
12/21/2022,"1,393,399,963.00","1,412,599,945.00","1,358,899,994.00","1,375,700,073.00","145,417,400.00"
12/22/2022,136.00,"1,366,300,049.00","1,222,600,021.00","1,253,499,985.00","210,090,300.00"
12/23/2022,"1,263,700,027.00","1,286,199,951.00","1,210,199,966.00","1,231,500,015.00","166,989,700.00"
12/27/2022,"117,5","1,196,699,982.00","1,087,600,021.00","1,090,999,985.00","208,643,400.00"
12/28/2022,"1,103,499,985.00","1,162,699,966.00","1,082,399,979.00","1,127,099,991.00","221,070,500.00"
12/29/2022,"1,203,899,994.00","1,235,699,997.00","117,5","1,218,199,997.00","221,923,300.00"
12/30/2022,"1,199,499,969.00","1,244,800,034.00","119,75","1,231,800,003.00","157,777,300.00"
1/3/2023,"1,184,700,012.00","1,188,000,031.00","1,046,399,994.00","1,080,999,985.00","231,402,800.00"
1/4/2023,"1,091,100,006.00","1,145,899,963.00","1,075,199,966.00","1,136,399,994.00","180,389,000.00"
1/5/2023,"1,105,100,021.00","111,75","1,071,600,037.00","1,103,399,963.00","157,986,300.00"
1/6/2023,103.00,"1,143,899,994.00","1,018,099,976.00","1,130,599,976.00","220,911,100.00"
1/9/2023,"1,189,599,991.00","1,235,199,966.00","1,171,100,006.00","1,197,699,966.00","190,284,000.00"
1/10/2023,"1,210,699,997.00","1,227,600,021.00","1,149,199,982.00","1,188,499,985.00","167,642,500.00"
1/11/2023,"1,220,899,963.00","1,259,499,969.00","1,205,100,021.00","1,232,200,012.00","183,810,800.00"
1/12/2023,"1,225,599,976.00","1,241,299,973.00",117.00,"1,235,599,976.00","169,400,900.00"
1/13/2023,"1,165,500,031.00","1,226,299,973.00","1,155,999,985.00","1,224,000,015.00","180,714,100.00"
1/17/2023,"1,256,999,969.00","1,316,999,969.00","1,250,199,966.00","1,314,900,055.00","186,477,000.00"
1/18/2023,"1,365,599,976.00","1,366,799,927.00","1,270,100,021.00","1,287,799,988.00","195,680,300.00"
1/19/2023,"1,272,600,021.00","1,299,900,055.00","1,243,099,976.00","1,271,699,982.00","170,291,900.00"
1/20/2023,"1,286,799,927.00","1,335,099,945.00","1,273,499,985.00","1,334,199,982.00","138,858,100.00"
1/23/2023,"1,358,699,951.00","1,453,800,049.00","1,342,700,043.00","143,75","203,119,200.00"
1/24/2023,143.00,"146,5","1,411,000,061.00","1,438,899,994.00","158,699,100.00"
1/25/2023,"1,419,100,037.00","1,464,100,037.00","1,380,700,073.00","1,444,299,927.00","192,734,300.00"
1/26/2023,"1,599,700,012.00","1,614,199,982.00","1,547,599,945.00","1,602,700,043.00","234,815,100.00"
1/27/2023,"1,624,299,927.00","1,806,799,927.00","1,611,699,982.00","1,778,999,939.00","306,590,600.00"
1/30/2023,"1,780,500,031.00","1,797,700,043.00","166,5","1,666,600,037.00","230,878,800.00"
1/31/2023,"1,645,700,073.00","1,743,000,031.00","1,627,799,988.00","1,732,200,012.00","196,813,500.00"
2/1/2023,"1,738,899,994.00","1,838,099,976.00","1,699,299,927.00","1,814,100,037.00","213,806,300.00"
2/2/2023,"1,873,300,018.00","196,75","1,826,100,006.00","1,882,700,043.00","217,448,300.00"
2/3/2023,"1,839,499,969.00",199.00,"1,836,900,024.00","1,899,799,957.00","232,662,000.00"
2/6/2023,"1,930,099,945.00","1,981,699,982.00","1,899,199,982.00","1,947,599,945.00","186,188,100.00"
2/7/2023,"1,964,299,927.00","197,5","1,895,500,031.00","1,968,099,976.00","186,010,300.00"
2/8/2023,"1,961,000,061.00",203.00,"1,943,099,976.00","2,012,899,933.00","180,673,600.00"
2/9/2023,"2,077,799,988.00",214.00,"2,047,700,043.00","2,073,200,073.00","215,431,400.00"
2/10/2023,"2,022,299,957.00","2,061,999,969.00","1,928,899,994.00","1,968,899,994.00","204,754,100.00"
2/13/2023,"1,944,199,982.00","1,963,000,031.00","1,876,100,006.00","1,946,399,994.00","172,475,500.00"
2/14/2023,"1,919,400,024.00","2,098,200,073.00","1,894,400,024.00","209,25","216,455,700.00"
2/15/2023,"2,117,599,945.00","2,146,600,037.00","2,061,100,006.00","2,142,400,055.00","181,006,400.00"
2/16/2023,"2,107,799,988.00","2,176,499,939.00","2,018,399,963.00","2,020,399,933.00","229,586,500.00"
2/17/2023,"1,999,900,055.00","2,084,400,024.00","197,5","2,083,099,976.00","213,738,500.00"
2/21/2023,"2,049,900,055.00","2,097,100,067.00","1,972,200,012.00","1,973,699,951.00","180,018,600.00"
2/22/2023,"1,979,299,927.00","2,019,900,055.00","1,917,799,988.00","2,008,600,006.00","191,828,500.00"
2/23/2023,"2,039,100,037.00","2,051,399,994.00","1,963,300,018.00","2,020,700,073.00","146,360,000.00"
2/24/2023,"1,963,300,018.00","1,976,699,982.00","1,928,000,031.00","1,968,800,049.00","142,228,100.00"
2/27/2023,"2,020,299,988.00","2,094,199,982.00","2,012,599,945.00","2,076,300,049.00","161,028,300.00"
2/28/2023,"2,105,899,963.00","2,112,299,957.00","203,75","2,057,100,067.00","153,144,900.00"
3/1/2023,"2,062,100,067.00","2,071,999,969.00","1,985,200,043.00","2,027,700,043.00","156,852,800.00"
3/2/2023,"1,867,400,055.00","193,75","1,860,099,945.00","1,908,999,939.00","181,500,700.00"
3/3/2023,"1,948,000,031.00","2,004,799,957.00","1,928,800,049.00","1,977,899,933.00","154,193,300.00"
3/6/2023,"1,985,399,933.00","1,986,000,061.00","1,923,000,031.00","1,938,099,976.00","128,100,100.00"
3/7/2023,"1,913,800,049.00","1,941,999,969.00","1,861,000,061.00","1,877,100,067.00","148,125,800.00"
3/8/2023,"1,850,399,933.00","186,5",180.00,182.00,"151,897,800.00"
3/9/2023,"180,25","1,851,799,927.00","1,725,099,945.00","1,729,199,982.00","170,023,800.00"
3/10/2023,"1,751,300,049.00","1,782,899,933.00","1,684,400,024.00","1,734,400,024.00","191,488,900.00"
